player_id,player_name,shirt_number,position,substitute,date_of_birth,date_of_birth_formatted,team,opponent,team_id,opponent_id,home_away,match_id,match_date,liga,peso_liga,minutes_played,rating,goals,assists,birth_year,age,is_u23,reap
1465494,Guilherme Zuconelli,1.0,G,False,19/05/2000,19/05/2000,EC São Bento,EC Santo André,6967.0,6966.0,away,15180161,07/03/2026,Paulista A2,0.65,90,5.8,0,0,2000,26,False,0.0
1023593,Natan Masiero,2.0,D,False,27/11/2001,27/11/2001,EC São Bento,EC Santo André,6967.0,6966.0,away,15180161,07/03/2026,Paulista A2,0.65,90,6.7,0,1,2001,25,False,0.0
1186781,Luiz Felipe de Souza Soares,3.0,D,False,23/02/1999,23/02/1999,EC São Bento,EC Santo André,6967.0,6966.0,away,15180161,07/03/2026,Paulista A2,0.65,90,6.3,0,0,1999,27,False,0.0
981693,Casagrande,15.0,D,False,12/05/1999,12/05/1999,EC São Bento,EC Santo André,6967.0,6966.0,away,15180161,07/03/2026,Paulista A2,0.65,48,5.8,0,0,1999,27,False,0.0
1017674,Marcinho,6.0,D,False,28/03/2000,28/03/2000,EC São Bento,EC Santo André,6967.0,6966.0,away,15180161,07/03/2026,Paulista A2,0.65,90,7.3,1,0,2000,26,False,0.0
1830597,Gustavo Nunes Migueis,26.0,M,False,22/04/2005,22/04/2005,EC São Bento,EC Santo André,6967.0,6966.0,away,15180161,07/03/2026,Paulista A2,0.65,62,6.5,0,0,2005,21,True,0.0
2026450,Guilherme da Silva Ramos,8.0,M,False,28/09/2005,28/09/2005,EC São Bento,EC Santo André,6967.0,6966.0,away,15180161,07/03/2026,Paulista A2,0.65,90,6.4,0,0,2005,21,True,0.0
345623,Fábio Bahia,5.0,M,False,02/11/1983,02/11/1983,EC São Bento,EC Santo André,6967.0,6966.0,away,15180161,07/03/2026,Paulista A2,0.65,89,6.3,0,0,1983,43,False,0.0
1589352,Cauê Raphael de Souza Soares,13.0,M,False,26/04/2004,26/04/2004,EC São Bento,EC Santo André,6967.0,6966.0,away,15180161,07/03/2026,Paulista A2,0.65,80,6.7,0,0,2004,22,True,0.0
1634091,Matheo Laselva Lima,9.0,F,False,,,EC São Bento,EC Santo André,6967.0,6966.0,away,15180161,07/03/2026,Paulista A2,0.65,90,7.2,1,0,0,0,False,0.0
1105060,Inacio Neto,10.0,F,False,23/07/1996,23/07/1996,EC São Bento,EC Santo André,6967.0,6966.0,away,15180161,07/03/2026,Paulista A2,0.65,90,7.1,0,0,1996,30,False,0.0
1465221,Kayo Soares,16.0,M,True,09/07/1996,09/07/1996,EC São Bento,EC Santo André,6967.0,6966.0,away,15180161,07/03/2026,Paulista A2,0.65,52,6.4,0,0,1996,30,False,0.0
1609652,Wellington Batista Barbosa,11.0,M,True,05/04/1995,05/04/1995,EC São Bento,EC Santo André,6967.0,6966.0,away,15180161,07/03/2026,Paulista A2,0.65,38,6.2,0,0,1995,31,False,0.0
1637198,Flavio dos Reis Frazão,22.0,M,True,04/01/2004,04/01/2004,EC São Bento,EC Santo André,6967.0,6966.0,away,15180161,07/03/2026,Paulista A2,0.65,20,6.0,0,0,2004,22,True,0.0
1637090,Guilherme Ferezin Guimaraes,17.0,M,True,20/03/2006,20/03/2006,EC São Bento,EC Santo André,6967.0,6966.0,away,15180161,07/03/2026,Paulista A2,0.65,11,6.2,0,0,2006,20,True,0.0
1174638,Léo Wall,1.0,G,False,27/04/2000,27/04/2000,Ferroviária,CA Linense,35285.0,47503.0,home,15180168,07/03/2026,Paulista A2,0.65,90,6.4,0,0,2000,26,False,0.0
870377,Felipe Rodrigues,22.0,D,False,31/10/1995,31/10/1995,Ferroviária,CA Linense,35285.0,47503.0,home,15180168,07/03/2026,Paulista A2,0.65,90,7.5,0,1,1995,31,False,0.0
1017000,Gustavo Medina,13.0,D,False,07/09/2001,07/09/2001,Ferroviária,CA Linense,35285.0,47503.0,home,15180168,07/03/2026,Paulista A2,0.65,90,6.8,0,0,2001,25,False,0.0
1174625,Zé Vitor,40.0,D,False,10/06/2002,10/06/2002,Ferroviária,CA Linense,35285.0,47503.0,home,15180168,07/03/2026,Paulista A2,0.65,90,7.0,0,0,2002,24,False,0.0
1117470,Edson Lucas,6.0,D,False,30/07/2000,30/07/2000,Ferroviária,CA Linense,35285.0,47503.0,home,15180168,07/03/2026,Paulista A2,0.65,90,7.4,0,0,2000,26,False,0.0
870802,Ricardinho,5.0,M,False,27/03/1989,27/03/1989,Ferroviária,CA Linense,35285.0,47503.0,home,15180168,07/03/2026,Paulista A2,0.65,86,7.2,0,0,1989,37,False,0.0
1533964,Alencar,8.0,M,False,07/08/2002,07/08/2002,Ferroviária,CA Linense,35285.0,47503.0,home,15180168,07/03/2026,Paulista A2,0.65,86,6.8,0,0,2002,24,False,0.0
1526993,Mateus Cantarelli Gall,17.0,M,False,21/06/2005,21/06/2005,Ferroviária,CA Linense,35285.0,47503.0,home,15180168,07/03/2026,Paulista A2,0.65,50,6.5,0,0,2005,21,True,0.0
1214719,Antonio David Souza,20.0,M,False,08/02/2004,08/02/2004,Ferroviária,CA Linense,35285.0,47503.0,home,15180168,07/03/2026,Paulista A2,0.65,50,6.5,0,0,2004,22,True,0.0
1465450,Vitor Barreto,11.0,M,False,01/04/2000,01/04/2000,Ferroviária,CA Linense,35285.0,47503.0,home,15180168,07/03/2026,Paulista A2,0.65,62,7.3,0,0,2000,26,False,0.0
1589395,Thiago Montelo Pereira,19.0,F,False,29/01/2005,29/01/2005,Ferroviária,CA Linense,35285.0,47503.0,home,15180168,07/03/2026,Paulista A2,0.65,90,7.4,1,0,2005,21,True,0.0
